G: 4, P: 4, M: 3,PKTLEN: 1024, GENER_SPEED: 5883.32, CPU_USAGE: 46.2656, MEM_USAGE: 6.66, Perfor: 19.0937
G: 4, P: 4, M: 3,PKTLEN: 1280, GENER_SPEED: 6648.65, CPU_USAGE: 46.3889, MEM_USAGE: 6.67, Perfor: 21.4879
G: 4, P: 4, M: 3,PKTLEN: 1500, GENER_SPEED: 7432.65, CPU_USAGE: 46.55, MEM_USAGE: 6.67, Perfor: 23.9386
G: 4, P: 4, M: 5,PKTLEN: 64, GENER_SPEED: 1028.35, CPU_USAGE: 51.1611, MEM_USAGE: 9.12, Perfor: 2.20397
G: 4, P: 4, M: 5,PKTLEN: 128, GENER_SPEED: 2048.8, CPU_USAGE: 52.0667, MEM_USAGE: 10.9411, Perfor: 3.59649
G: 4, P: 4, M: 5,PKTLEN: 256, GENER_SPEED: 3639.03, CPU_USAGE: 52.4089, MEM_USAGE: 11.06, Perfor: 6.27806
G: 4, P: 4, M: 5,PKTLEN: 512, GENER_SPEED: 6155.35, CPU_USAGE: 53.2256, MEM_USAGE: 11.06, Perfor: 10.4563
G: 4, P: 4, M: 5,PKTLEN: 1024, GENER_SPEED: 10061.7, CPU_USAGE: 54.0056, MEM_USAGE: 11.08, Perfor: 16.8148
G: 4, P: 4, M: 5,PKTLEN: 1280, GENER_SPEED: 10599.8, CPU_USAGE: 54.14, MEM_USAGE: 11.08, Perfor: 17.6701
G: 4, P: 4, M: 5,PKTLEN: 1500, GENER_SPEED: 11687.1, CPU_USAGE: 54.1911, MEM_USAGE: 11.09, Perfor: 19.4468
G: 4, P: 4, M: 7,PKTLEN: 64, GENER_SPEED: 1126.35, CPU_USAGE: 58.4333, MEM_USAGE: 12.4878, Perfor: 1.54357
G: 4, P: 4, M: 7,PKTLEN: 128, GENER_SPEED: 2194.85, CPU_USAGE: 59.1567, MEM_USAGE: 15.1667, Perfor: 2.4463
G: 4, P: 4, M: 7,PKTLEN: 256, GENER_SPEED: 4043.07, CPU_USAGE: 59.4433, MEM_USAGE: 15.49, Perfor: 4.39093
G: 4, P: 4, M: 7,PKTLEN: 512, GENER_SPEED: 7368.98, CPU_USAGE: 60.9244, MEM_USAGE: 15.48, Perfor: 7.81349
G: 4, P: 4, M: 7,PKTLEN: 1024, GENER_SPEED: 10921.6, CPU_USAGE: 61.4133, MEM_USAGE: 15.51, Perfor: 11.466
G: 4, P: 4, M: 7,PKTLEN: 1280, GENER_SPEED: 11924.7, CPU_USAGE: 61.6667, MEM_USAGE: 15.5, Perfor: 12.4757
G: 4, P: 4, M: 7,PKTLEN: 1500, GENER_SPEED: 13194.8, CPU_USAGE: 61.9533, MEM_USAGE: 15.51, Perfor: 13.7318
G: 4, P: 4, M: 9,PKTLEN: 64, GENER_SPEED: 1208.67, CPU_USAGE: 65.3333, MEM_USAGE: 15.8111, Perfor: 1.17007
G: 4, P: 4, M: 9,PKTLEN: 128, GENER_SPEED: 2223.43, CPU_USAGE: 65.4144, MEM_USAGE: 19.2956, Perfor: 1.76154
G: 4, P: 4, M: 9,PKTLEN: 256, GENER_SPEED: 4376.1, CPU_USAGE: 66.4222, MEM_USAGE: 19.8667, Perfor: 3.31626
G: 4, P: 4, M: 9,PKTLEN: 512, GENER_SPEED: 8351.38, CPU_USAGE: 68.0678, MEM_USAGE: 19.9, Perfor: 6.16543
G: 4, P: 4, M: 9,PKTLEN: 1024, GENER_SPEED: 12400.9, CPU_USAGE: 68.7956, MEM_USAGE: 19.91, Perfor: 9.0536
